key,locale,value,type,section,parent
eps_interior.item.1,fr,Corniches et moulures de plafond,text,EPS Interior,Homepage
eps_interior.item.2,pt,Molduras de parede e painéis,text,EPS Interior,Homepage
eps_interior.item.2,en,Wall mouldings and panels,text,EPS Interior,Homepage
eps_interior.item.2,fr,Moulures murales et panneaux,text,EPS Interior,Homepage
eps_interior.item.3,pt,Rodapés decorativos,text,EPS Interior,Homepage
eps_interior.item.3,en,Decorative skirting,text,EPS Interior,Homepage
eps_interior.item.3,fr,Plinthes décoratives,text,EPS Interior,Homepage
eps_interior.item.4,pt,Perfis de canto e remate,text,EPS Interior,Homepage
eps_interior.item.4,en,Corner and trim profiles,text,EPS Interior,Homepage
eps_interior.item.4,fr,Profils d'angle et de finition,text,EPS Interior,Homepage
eps_interior.cta,pt,Ver todos os produtos,text,EPS Interior,Homepage
eps_interior.cta,en,View all products,text,EPS Interior,Homepage
eps_interior.cta,fr,Voir tous les produits,text,EPS Interior,Homepage
statement.sup,pt,Fabricação Nacional · Desde 2016,text,Statement,Homepage
statement.sup,en,Made in Portugal · Since 2016,text,Statement,Homepage
statement.sup,fr,Fabrication portugaise · Depuis 2016,text,Statement,Homepage
statement.title,pt,Mais de 500 projetos construídos com,text,Statement,Homepage
statement.title,en,Over 500 projects built with,text,Statement,Homepage
statement.title,fr,Plus de 500 chantiers réalisés com,text,Statement,Homepage
statement.title_em,pt,rigor e inovação.,text,Statement,Homepage
statement.title_em,en,rigour and innovation.,text,Statement,Homepage
statement.title_em,fr,rigueur et innovation.,text,Statement,Homepage
statement.subtitle,pt,"Certificação CE · Declaração de Desempenho · Exportação para PT, ES e FR",text,Statement,Homepage
statement.subtitle,en,CE Certification · Declaration of Performance · Exports to PT, ES & FR,text,Statement,Homepage
statement.subtitle,fr,Certification CE · Déclaration de performance · Export PT, ES & FR,text,Statement,Homepage
metal.eyebrow,pt,Linha de Produto,text,Perfis Metálicos,Homepage
metal.eyebrow,en,Product Line,text,Perfis Metálicos,Homepage
metal.eyebrow,fr,Gamme de produits,text,Perfis Metálicos,Homepage
metal.title,pt,Perfis Metálicos,text,Perfis Metálicos,Homepage
metal.title,en,Metal Profiles,text,Perfis Metálicos,Homepage
metal.title,fr,Profilés métalliques,text,Perfis Metálicos,Homepage
metal.cta,pt,Ver todos os perfis,text,Perfis Metálicos,Homepage
metal.cta,en,View all profiles,text,Perfis Metálicos,Homepage
metal.cta,fr,Voir tous les profilés,text,Perfis Metálicos,Homepage
metal.1.name,pt,Tetos Falsos,text,Perfis Metálicos,Homepage
metal.1.name,en,Suspended Ceilings,text,Perfis Metálicos,Homepage
metal.1.name,fr,Faux plafonds,text,Perfis Metálicos,Homepage
metal.1.description,pt,Sistema de suspensão para tetos rebaixados. Maior controlo acústico e térmico.,text,Perfis Metálicos,Homepage
metal.1.description,en,Suspension system for lowered ceilings. Better acoustic and thermal control.,text,Perfis Metálicos,Homepage
metal.1.description,fr,Système de suspension pour plafonds abaissés. Meilleur contrôle acoustique et thermique.,text,Perfis Metálicos,Homepage
metal.1.tag.1,pt,Perfil TC,text,Perfis Metálicos,Homepage
metal.1.tag.2,pt,Perfil U / Raia,text,Perfis Metálicos,Homepage
metal.2.name,pt,Divisórias,text,Perfis Metálicos,Homepage
metal.2.name,en,Partitions,text,Perfis Metálicos,Homepage
metal.2.name,fr,Cloisons,text,Perfis Metálicos,Homepage
metal.2.description,pt,Partições leves e versáteis para escritórios e espaços comerciais.,text,Perfis Metálicos,Homepage
metal.2.description,en,Light, versatile partitions for offices and commercial spaces.,text,Perfis Metálicos,Homepage
metal.2.description,fr,Cloisons légères et polyvalentes pour bureaux et espaces commerciaux.,text,Perfis Metálicos,Homepage
metal.2.tag.1,pt,Montante Stud,text,Perfis Metálicos,Homepage
metal.2.tag.2,pt,Canal Raia,text,Perfis Metálicos,Homepage
metal.3.name,pt,Complementos,text,Perfis Metálicos,Homepage
metal.3.name,en,Trims,text,Perfis Metálicos,Homepage
metal.3.name,fr,Compléments,text,Perfis Metálicos,Homepage
metal.3.description,pt,"Alhetas, cantoneiras e perfis de acabamento para soluções completas.",text,Perfis Metálicos,Homepage
metal.3.description,en,"Shadow gaps, angles and finishing profiles for complete solutions.",text,Perfis Metálicos,Homepage
metal.3.description,fr,"Joints creux, cornières et profils de finition pour des solutions complètes.",text,Perfis Metálicos,Homepage
metal.3.tag.1,pt,Alheta Lacada,text,Perfis Metálicos,Homepage
metal.3.tag.2,pt,Cantoneira L,text,Perfis Metálicos,Homepage
metal.3.tag.3,pt,Cantoneira L Perf.,text,Perfis Metálicos,Homepage
metal.4.name,pt,Acessórios,text,Perfis Metálicos,Homepage
metal.4.name,en,Accessories,text,Perfis Metálicos,Homepage
metal.4.name,fr,Accessoires,text,Perfis Metálicos,Homepage
metal.4.description,pt,"Sistema completo de fixação, suspensão e conectividade para qualquer solução.",text,Perfis Metálicos,Homepage
metal.4.description,en,"Complete fixing, suspension and connection system for any solution.",text,Perfis Metálicos,Homepage
metal.4.description,fr,Système complet de fixation, suspension et connexion pour toute solution.,text,Perfis Metálicos,Homepage
metal.4.tag.1,pt,Alçapão,text,Perfis Metálicos,Homepage
metal.4.tag.2,pt,Cruzeta / Emenda,text,Perfis Metálicos,Homepage
metal.4.tag.3,pt,Perfil Omega · Pivot,text,Perfis Metálicos,Homepage
obras_home.eyebrow,pt,Portefólio · Obras,text,Obras,Homepage
obras_home.eyebrow,en,Portfolio · Projects,text,Obras,Homepage
obras_home.eyebrow,fr,Portfolio · Chantiers,text,Obras,Homepage
obras_home.title,pt,Projetos que falam por nós,text,Obras,Homepage
obras_home.title,en,Projects that speak for us,text,Obras,Homepage
obras_home.title,fr,Des chantiers qui parlent pour nous,text,Obras,Homepage
obras_home.description,pt,Cada obra mostra o antes e o depois — arraste para ver a transformação que as nossas soluções trazem à fachada.,text,Obras,Homepage
obras_home.description,en,Each project shows the before and after — drag to see the transformation our solutions bring to the façade.,text,Obras,Homepage
obras_home.description,fr,"Chaque chantier montre l'avant et l'après — faites glisser pour voir la transformation que nos solutions apportent à la façade.",text,Obras,Homepage
obras_home.featured.1,pt,reabilitacao-fachada-braga,data,Obras,Homepage
obras_home.featured.2,pt,moradia-ponte-de-lima,data,Obras,Homepage
obras_home.featured.3,pt,edificio-comercial-guimaraes,data,Obras,Homepage
obras_home.cta,pt,Ver todas as obras,text,Obras,Homepage
obras_home.cta,en,View all projects,text,Obras,Homepage
obras_home.cta,fr,Voir tous les chantiers,text,Obras,Homepage
about.eyebrow,pt,Quem Somos,text,Empresa,Homepage
about.eyebrow,en,About Us,text,Empresa,Homepage
about.eyebrow,fr,Qui sommes-nous,text,Empresa,Homepage
about.title,pt,"Criados para responder a uma <em>necessidade real</em> da construção moderna.",richtext,Empresa,Homepage
about.title,en,"Created to answer a <em>real need</em> of modern construction.",richtext,Empresa,Homepage
about.title,fr,"Créés pour répondre à un <em>besoin réel</em> de la construction moderne.",richtext,Empresa,Homepage
about.body,pt,"A Winterplateau foi fundada em Janeiro de 2016 em Vila Verde, Braga, com o propósito de desenvolver e colmatar uma necessidade detectada no mercado da construção civil e reabilitação — produtos inovadores em EPS multifuncionais assentes nas melhores práticas e tecnologias. Uma busca incansável por qualidade que resulta em vantagens competitivas concretas para os nossos clientes.",text,Empresa,Homepage
about.body,en,"Winterplateau was founded in January 2016 in Vila Verde, Braga, to develop and answer a need identified in the construction and renovation market — innovative, multifunctional EPS products built on best practices and technologies. A relentless pursuit of quality that delivers concrete competitive advantages to our clients.",text,Empresa,Homepage
about.body,fr,"Winterplateau a été fondée en janvier 2016 à Vila Verde, Braga, pour développer et répondre à un besoin identifié sur le marché de la construction et de la réhabilitation — des produits EPS innovants et multifonctionnels fondés sur les meilleures pratiques et technologies. Une recherche incessante de qualité qui se traduit par des avantages compétitifs concrets pour nos clients.",text,Empresa,Homepage
about.cert.1,pt,Certificação CE,text,Empresa,Homepage
about.cert.1,en,CE Certification,text,Empresa,Homepage
about.cert.1,fr,Certification CE,text,Empresa,Homepage
about.cert.2,pt,Decl. de Desempenho,text,Empresa,Homepage
about.cert.2,en,Decl. of Performance,text,Empresa,Homepage
about.cert.2,fr,Décl. de performance,text,Empresa,Homepage
about.cert.3,pt,Co-financiado UE,text,Empresa,Homepage
about.cert.3,en,EU Co-funded,text,Empresa,Homepage
about.cert.3,fr,Cofinancé UE,text,Empresa,Homepage
about.founding_year,pt,2016,number,Empresa,Homepage
testimonials.eyebrow,pt,A confiança de quem construiu,text,Testemunhos,Homepage
testimonials.eyebrow,en,Trusted by those who built with us,text,Testemunhos,Homepage
testimonials.eyebrow,fr,La confiance de ceux qui ont construit,text,Testemunhos,Homepage
testimonials.title,pt,Testemunhos,text,Testemunhos,Homepage
testimonials.title,en,Testimonials,text,Testemunhos,Homepage
testimonials.title,fr,Témoignages,text,Testemunhos,Homepage
testimonials.1.quote,pt,Espaço reservado para o testemunho real do cliente.,text,Testemunhos,Homepage
testimonials.1.name,pt,Nome do Cliente,text,Testemunhos,Homepage
testimonials.1.role,pt,Tipo de obra · Localidade,text,Testemunhos,Homepage
testimonials.2.quote,pt,Espaço reservado para o testemunho real do cliente.,text,Testemunhos,Homepage
testimonials.2.name,pt,Nome do Cliente,text,Testemunhos,Homepage
testimonials.2.role,pt,Tipo de obra · Localidade,text,Testemunhos,Homepage
testimonials.3.quote,pt,Espaço reservado para o testemunho real do cliente.,text,Testemunhos,Homepage
testimonials.3.name,pt,Nome do Cliente,text,Testemunhos,Homepage
testimonials.3.role,pt,Tipo de obra · Localidade,text,Testemunhos,Homepage
downloads.eyebrow,pt,Documentação Técnica,text,Downloads,Homepage
downloads.eyebrow,en,Technical Documentation,text,Downloads,Homepage
downloads.eyebrow,fr,Documentation technique,text,Downloads,Homepage
downloads.title,pt,Downloads,text,Downloads,Homepage
downloads.title,en,Downloads,text,Downloads,Homepage
downloads.title,fr,Téléchargements,text,Downloads,Homepage
downloads.1.name,pt,Declaração de Desempenho,text,Downloads,Homepage
downloads.1.name,en,Declaration of Performance,text,Downloads,Homepage
downloads.1.name,fr,Déclaration de performance,text,Downloads,Homepage
downloads.1.file,pt,http://www.winterplateau.pt/inc/uploads/2018/03/DECLARACAO_DESEMPENHO.pdf,file,Downloads,Homepage
downloads.2.name,pt,Declaração de Conformidade,text,Downloads,Homepage
downloads.2.name,en,Declaration of Conformity,text,Downloads,Homepage
downloads.2.name,fr,Déclaration de conformité,text,Downloads,Homepage
downloads.2.file,pt,http://www.winterplateau.pt/inc/uploads/2018/03/declaracao-conformidade.pdf,file,Downloads,Homepage
downloads.3.name,pt,DOP — Declaration of Performance,text,Downloads,Homepage
downloads.3.name,en,DOP — Declaration of Performance,text,Downloads,Homepage
downloads.3.name,fr,DOP — Déclaration de performance,text,Downloads,Homepage
downloads.3.file,pt,http://www.winterplateau.pt/inc/uploads/2018/03/dop.pdf,file,Downloads,Homepage
downloads.4.name,pt,Modo de Aplicação Molduras,text,Downloads,Homepage
downloads.4.name,en,Mouldings Application Guide,text,Downloads,Homepage
downloads.4.name,fr,Guide d'application des moulures,text,Downloads,Homepage
downloads.4.file,pt,http://www.winterplateau.pt/inc/uploads/2018/03/modo-de-aplicacao-molduras.pdf,file,Downloads,Homepage
downloads.5.name,pt,Catálogo Winterplateau,text,Downloads,Homepage
downloads.5.name,en,Winterplateau Catalogue,text,Downloads,Homepage
downloads.5.name,fr,Catalogue Winterplateau,text,Downloads,Homepage
downloads.5.file,pt,http://www.winterplateau.pt/file/2017/10/WINTERPLATEAU_Catalogo-XS_AF.pdf,file,Downloads,Homepage
downloads.6.name,pt,Catálogo Rodatetos,text,Downloads,Homepage
downloads.6.name,en,Crown Mouldings Catalogue,text,Downloads,Homepage
downloads.6.name,fr,Catalogue Corniches intérieures,text,Downloads,Homepage
downloads.6.file,pt,http://www.winterplateau.pt/inc/uploads/2018/03/catalogo-rodatetos-winterplateau_Versao-1.pdf,file,Downloads,Homepage
cta.title,pt,Pronto para o,text,CTA,Homepage
cta.title,en,Ready for your,text,CTA,Homepage
cta.title,fr,Prêt pour votre,text,CTA,Homepage
cta.title_em,pt,próximo projecto?,text,CTA,Homepage
cta.title_em,en,next project?,text,CTA,Homepage
cta.title_em,fr,prochain chantier ?,text,CTA,Homepage
cta.description,pt,Peça um orçamento personalizado ou fale com a nossa equipa técnica.,text,CTA,Homepage
cta.description,en,Request a tailored quote or talk to our technical team.,text,CTA,Homepage
cta.description,fr,Demandez un devis personnalisé ou parlez à notre équipe technique.,text,CTA,Homepage
cta.primary,pt,Solicitar Orçamento,text,CTA,Homepage
cta.primary,en,Request a Quote,text,CTA,Homepage
cta.primary,fr,Demander un devis,text,CTA,Homepage
cta.secondary,pt,Descarregar Catálogo,text,CTA,Homepage
cta.secondary,en,Download Catalogue,text,CTA,Homepage
cta.secondary,fr,Télécharger le catalogue,text,CTA,Homepage
orcamento.eyebrow,pt,Pedido de Orçamento,text,Orçamento,Homepage
orcamento.eyebrow,en,Quote Request,text,Orçamento,Homepage
orcamento.eyebrow,fr,Demande de devis,text,Orçamento,Homepage
orcamento.title,pt,Peça o seu orçamento,text,Orçamento,Homepage
orcamento.title,en,Request your quote,text,Orçamento,Homepage
orcamento.title,fr,Demandez votre devis,text,Orçamento,Homepage
orcamento.description,pt,Envie os detalhes da sua obra — respondemos com uma proposta personalizada em 1–2 dias úteis.,text,Orçamento,Homepage
orcamento.description,en,Send us your project details — we reply with a tailored proposal within 1–2 working days.,text,Orçamento,Homepage
orcamento.description,fr,"Envoyez-nous les détails de votre chantier — nous répondons avec une proposition personnalisée sous 1 à 2 jours ouvrés.",text,Orçamento,Homepage
orcamento.point.1,pt,Resposta até 48 horas,text,Orçamento,Homepage
orcamento.point.1,en,Reply within 48 hours,text,Orçamento,Homepage
orcamento.point.1,fr,Réponse sous 48 heures,text,Orçamento,Homepage
orcamento.point.2,pt,Aconselhamento técnico incluído,text,Orçamento,Homepage
orcamento.point.2,en,Technical advice included,text,Orçamento,Homepage
orcamento.point.2,fr,Conseil technique inclus,text,Orçamento,Homepage
orcamento.point.3,pt,Sem compromisso,text,Orçamento,Homepage
orcamento.point.3,en,No obligation,text,Orçamento,Homepage
orcamento.point.3,fr,Sans engagement,text,Orçamento,Homepage
orcamento.field.name,pt,Nome,text,Orçamento,Homepage
orcamento.field.name,en,Name,text,Orçamento,Homepage
orcamento.field.name,fr,Nom,text,Orçamento,Homepage
orcamento.field.email,pt,Email,text,Orçamento,Homepage
orcamento.field.email,en,Email,text,Orçamento,Homepage
orcamento.field.email,fr,E-mail,text,Orçamento,Homepage
orcamento.field.phone,pt,Telefone,text,Orçamento,Homepage
orcamento.field.phone,en,Phone,text,Orçamento,Homepage
orcamento.field.phone,fr,Téléphone,text,Orçamento,Homepage
orcamento.field.type,pt,Tipo de obra,text,Orçamento,Homepage
orcamento.field.type,en,Project type,text,Orçamento,Homepage
orcamento.field.type,fr,Type de chantier,text,Orçamento,Homepage
orcamento.field.message,pt,Mensagem,text,Orçamento,Homepage
orcamento.field.message,en,Message,text,Orçamento,Homepage
orcamento.field.message,fr,Message,text,Orçamento,Homepage
orcamento.placeholder.name,pt,O seu nome,text,Orçamento,Homepage
orcamento.placeholder.name,en,Your name,text,Orçamento,Homepage
orcamento.placeholder.name,fr,Votre nom,text,Orçamento,Homepage
orcamento.placeholder.message,pt,Descreva a sua obra…,text,Orçamento,Homepage
orcamento.placeholder.message,en,Describe your project…,text,Orçamento,Homepage
orcamento.placeholder.message,fr,Décrivez votre chantier…,text,Orçamento,Homepage
orcamento.option.1,pt,Reabilitação de fachada,text,Orçamento,Homepage
orcamento.option.1,en,Façade renovation,text,Orçamento,Homepage
orcamento.option.1,fr,Réhabilitation de façade,text,Orçamento,Homepage
orcamento.option.2,pt,Construção nova,text,Orçamento,Homepage
orcamento.option.2,en,New build,text,Orçamento,Homepage
orcamento.option.2,fr,Construction neuve,text,Orçamento,Homepage
orcamento.option.3,pt,EPS interior,text,Orçamento,Homepage
orcamento.option.3,en,Interior EPS,text,Orçamento,Homepage
orcamento.option.3,fr,EPS intérieur,text,Orçamento,Homepage
orcamento.option.4,pt,Perfis metálicos,text,Orçamento,Homepage
orcamento.option.4,en,Metal profiles,text,Orçamento,Homepage
orcamento.option.4,fr,Profilés métalliques,text,Orçamento,Homepage
orcamento.option.5,pt,Outro,text,Orçamento,Homepage
orcamento.option.5,en,Other,text,Orçamento,Homepage
orcamento.option.5,fr,Autre,text,Orçamento,Homepage
orcamento.submit,pt,Enviar pedido,text,Orçamento,Homepage
orcamento.submit,en,Send request,text,Orçamento,Homepage
orcamento.submit,fr,Envoyer la demande,text,Orçamento,Homepage
orcamento.note,pt,Os pedidos seguem diretamente para geral@winterplateau.pt,text,Orçamento,Homepage
orcamento.note,en,Requests go directly to geral@winterplateau.pt,text,Orçamento,Homepage
orcamento.note,fr,Les demandes sont envoyées directement à geral@winterplateau.pt,text,Orçamento,Homepage
orcamento.success,pt,Obrigado! O seu pedido foi preparado no seu programa de email — basta enviar.,text,Orçamento,Homepage
orcamento.success,en,Thank you! Your request has been prepared in your email client — just press send.,text,Orçamento,Homepage
orcamento.success,fr,"Merci ! Votre demande a été préparée dans votre logiciel de messagerie — il ne reste qu'à l'envoyer.",text,Orçamento,Homepage
contact.eyebrow,pt,Contactos,text,Contactos,Homepage
contact.eyebrow,en,Contacts,text,Contactos,Homepage
contact.eyebrow,fr,Contacts,text,Contactos,Homepage
contact.title,pt,Fale Connosco,text,Contactos,Homepage
contact.title,en,Get in Touch,text,Contactos,Homepage
contact.title,fr,Contactez-nous,text,Contactos,Homepage
contact.address.label,pt,Morada,text,Contactos,Homepage
contact.address.label,en,Address,text,Contactos,Homepage
contact.address.label,fr,Adresse,text,Contactos,Homepage
contact.address.line1,pt,Avenida Principal, Nº 202,text,Contactos,Homepage
contact.address.line2,pt,"4730-041 Atiães, Vila Verde",text,Contactos,Homepage
contact.address.line3,pt,"Braga, Portugal",text,Contactos,Homepage
contact.phone.label,pt,Telefone,text,Contactos,Homepage
contact.phone.label,en,Phone,text,Contactos,Homepage
contact.phone.label,fr,Téléphone,text,Contactos,Homepage
contact.phone.value,pt,+351 253 193 667,phone,Contactos,Homepage
contact.email.label,pt,Email,text,Contactos,Homepage
contact.email.value,pt,geral@winterplateau.pt,email,Contactos,Homepage
contact.social.linkedin,pt,https://www.linkedin.com/company/winterplateau/,url,Contactos,Homepage
contact.social.facebook,pt,https://www.facebook.com/winterplateau/,url,Contactos,Homepage
contact.social.instagram,pt,https://www.instagram.com/winterplateau/,url,Contactos,Homepage
footer.tagline,pt,"Soluções em EPS e Perfis Metálicos para construção e reabilitação. Fabricação nacional, qualidade europeia.",text,Footer,
footer.tagline,en,"EPS and metal profile solutions for construction and renovation. Made in Portugal, European quality.",text,Footer,
footer.tagline,fr,"Solutions en EPS et profilés métalliques pour la construction et la réhabilitation. Fabrication portugaise, qualité européenne.",text,Footer,
footer.col.solutions,pt,Soluções,text,Footer,
footer.col.solutions,en,Solutions,text,Footer,
footer.col.solutions,fr,Solutions,text,Footer,
footer.col.company,pt,Empresa,text,Footer,
footer.col.company,en,Company,text,Footer,
footer.col.company,fr,Entreprise,text,Footer,
footer.col.contacts,pt,Contactos,text,Footer,
footer.col.contacts,en,Contacts,text,Footer,
footer.col.contacts,fr,Contacts,text,Footer,
footer.copyright,pt,© 2026 Winterplateau. Todos os direitos reservados.,text,Footer,
footer.copyright,en,© 2026 Winterplateau. All rights reserved.,text,Footer,
footer.copyright,fr,© 2026 Winterplateau. Tous droits réservés.,text,Footer,
footer.privacy,pt,Política de Privacidade,text,Footer,
footer.privacy,en,Privacy Policy,text,Footer,
footer.privacy,fr,Politique de confidentialité,text,Footer,
footer.terms,pt,Termos e Condições,text,Footer,
footer.terms,en,Terms & Conditions,text,Footer,
footer.terms,fr,Conditions générales,text,Footer,
projects_page.eyebrow,pt,As nossas Obras,text,Página Projetos,Projetos
projects_page.eyebrow,en,Our Projects,text,Página Projetos,Projetos
projects_page.eyebrow,fr,Nos Chantiers,text,Página Projetos,Projetos
projects_page.description,pt,"Reabilitação de fachadas e construção nova por todo o norte de Portugal. Em cada projeto, arraste a comparação para ver a transformação que as molduras e o isolamento Winterplateau trazem ao edifício.",text,Página Projetos,Projetos
projects_page.description,en,"Façade renovation and new construction across northern Portugal. On each project, drag the comparison to see the transformation Winterplateau mouldings and insulation bring to the building.",text,Página Projetos,Projetos
projects_page.description,fr,"Réhabilitation de façades et construction neuve dans tout le nord du Portugal. Sur chaque chantier, faites glisser la comparaison pour voir la transformation apportée par les moulures et l'isolation Winterplateau.",text,Página Projetos,Projetos
projects_page.filter.all,pt,Todas,text,Página Projetos,Projetos
projects_page.filter.all,en,All,text,Página Projetos,Projetos
